Player,Tm,League,Pos,Salary,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,Wsper
Tierra Ruffin-Pratt,LAS,0,G,56375,82,79.5882353,30.24,2.52,6.96,0.367,0.84,2.52,0.342,1.68,4.32,0.382,0.431,1.2,1.44,0.854,0.72,2.16,2.88,2.04,0.96,0.72,1.08,3.24,7.2,8.6,0.477,0.372,0.209,2.7,5.5,9.9,1.5,2,11.9,12.6,0.585,1.053,0.069
Brionna Jones,CON,0,F,53563,65.11764706,0,10.08,1.56,3.36,0.467,0,0,0,1.56,3.24,0.473,0.467,1.08,1.56,0.667,1.68,0.96,2.64,0.36,0.36,0.36,0.84,1.56,4.2,16.4,0.517,0.013,0.48,17.7,14.9,6.6,2,2.7,17.3,21,0.468,0.351,0.124
Sami Whitcomb,SEA,0,G,50000,79.5882353,31.35294118,24.48,3,8.16,0.366,2.28,6.72,0.342,0.72,1.44,0.475,0.507,0.36,0.36,1,0.6,1.44,2.04,2.88,1.32,0.12,1.92,1.8,8.64,12.8,0.52,0.821,0.049,2.9,5.2,20.2,2.8,0.5,18.5,19,0.468,0.819,0.07
Renee Montgomery,ATL,0,G,107000,82,82,33.48,3.72,10.2,0.37,2.4,7.44,0.324,1.32,2.76,0.494,0.488,1.44,1.8,0.824,0.36,2.28,2.64,3.12,1.08,0.24,2.28,1.8,11.4,11.1,0.52,0.727,0.176,1,4.1,18,1.7,0.5,16.8,17.5,0.468,0.585,0.039
Sydney Colson,LVA,0,G,47798,79.5882353,0,13.8,1.32,3,0.44,0.36,0.72,0.45,0.96,2.28,0.438,0.494,0.96,1.2,0.818,0.12,0.72,0.84,2.16,1.08,0.12,0.96,1.44,3.96,13.5,0.558,0.238,0.393,0.6,3.3,24.1,4,0.9,22.1,14.3,0.468,0.936,0.126
Tanisha Wright,NYL,0,G,94860,74.76470589,41,23.76,2.04,5.04,0.415,0.6,1.44,0.368,1.56,3.6,0.435,0.469,0.96,1.2,0.806,0.84,2.52,3.36,4.92,1.2,0.36,2.16,2.64,5.64,12.7,0.512,0.292,0.238,3.9,8,32.6,2.6,1.2,28.4,14.3,0.468,0.351,0.041
Bria Holmes,CON,0,G,53290,82,0,18.72,2.76,6.84,0.399,0.72,2.28,0.317,2.04,4.56,0.438,0.451,1.32,2.04,0.672,0.36,1.32,1.68,1.08,0.6,0.24,1.08,1.32,7.56,11.3,0.487,0.326,0.301,2.1,5.3,9.7,1.5,1.2,12.1,20.4,0.351,0.585,0.059
Alaina Coates,TOT,0,C,25815,55.47058824,0,8.76,1.2,2.4,0.533,0,0,,1.2,2.4,0.533,0.533,0.6,1.08,0.571,1.08,2.04,3.12,0.12,0.24,0.6,0.48,1.92,3.12,16.5,0.553,0,0.467,14.7,20.7,2.2,1.5,5.5,14.2,16.9,0.351,0.468,0.165
Kennedy Burke,IND,0,G,41965,74.76470589,16.88235294,16.32,1.8,4.56,0.385,0.6,1.56,0.35,1.2,3,0.403,0.444,1.2,1.68,0.705,0.72,1.08,1.8,0.84,0.72,0.36,0.84,1.2,5.28,11.9,0.495,0.342,0.376,5.1,6.1,8.5,2.2,1.9,13.3,16.8,0.351,0.234,0.053
Stephanie Mavunga,IND,0,F,42632,57.88235294,0,10.2,1.2,2.4,0.511,0,0,0,1.2,2.28,0.522,0.511,0.6,0.84,0.706,1.08,1.68,2.76,0.24,0.36,0.36,0.48,1.92,3,12.9,0.551,0.021,0.362,12.3,15.8,3.3,1.5,2.8,15.5,14.3,0.351,0.234,0.111
Briann January,PHO,0,G,117500,77.17647059,62.70588236,31.92,2.64,6.84,0.39,1.2,3.12,0.378,1.56,3.72,0.4,0.475,1.32,1.56,0.837,0.24,1.32,1.56,3.84,0.96,0.12,2.04,2.52,7.8,8.8,0.52,0.451,0.236,0.8,2.8,20.3,1.6,0.3,21.2,14.2,0.351,0.351,0.025
Sydney Wiese,LAS,0,G,47798,77.17647059,38.5882353,24.72,2.04,5.4,0.385,1.32,3.48,0.366,0.84,1.92,0.42,0.503,0.36,0.36,1,0.24,1.32,1.56,2.16,0.6,0.36,1.2,0.96,5.76,8.5,0.521,0.65,0.063,0.9,3.6,12.9,1.2,1,17.9,12.1,0.351,0.585,0.048
Bria Hartley,NYL,0,G,102000,57.88235294,43.41176471,27.24,3.96,10.56,0.376,1.2,3.6,0.329,2.76,6.84,0.401,0.433,2.64,3.36,0.803,0.96,2.88,3.84,3.84,0.96,0,2.52,2.76,11.76,12.9,0.492,0.348,0.314,3.7,8,24.3,1.7,0.2,17.3,23.2,0.234,0,0.019
Kayla Thornton,DAL,0,F,86000,65.11764706,60.29411765,36.48,4.44,12.84,0.343,1.2,4.56,0.272,3.12,8.28,0.382,0.391,2.4,2.52,0.931,2.16,4.2,6.36,2.16,1.08,0.36,1.92,2.64,12.48,11.5,0.445,0.356,0.201,6.7,10.3,11.1,1.6,0.9,12.3,20.2,0.234,0.468,0.027
Theresa Plaisance,DAL,0,F,104000,53.05882353,28.94117647,20.64,2.52,6.72,0.374,1.2,3.6,0.343,1.2,3,0.411,0.467,0.96,1.2,0.773,1.2,4.08,5.28,1.8,0.36,0.96,1.68,2.88,7.2,13.2,0.497,0.545,0.179,6.2,15.2,17.1,0.9,3.9,18.4,19.9,0.234,0.468,0.06
Glory Johnson,DAL,0,F,117500,67.52941177,45.82352941,28.92,3.36,9.12,0.364,1.56,4.44,0.34,1.8,4.8,0.387,0.446,0.6,1.08,0.583,1.2,4.92,6.12,1.68,1.68,0.72,1.2,1.92,8.76,13.9,0.456,0.481,0.112,4.5,12.6,10.9,3.1,2.3,11.1,17.3,0.234,1.17,0.069
Camille Little,PHO,0,F,101000,69.94117647,0,17.64,1.68,3.84,0.435,0.24,0.84,0.333,1.32,2.88,0.465,0.473,1.08,1.32,0.806,0.84,2.04,2.88,0.96,0.48,0.36,1.08,2.16,4.68,9.6,0.53,0.228,0.337,5.3,9.4,9.3,1.4,1.5,19.1,14.6,0.234,0.468,0.054
Sophie Cunningham,PHO,0,G,42570,77.17647059,12.05882353,14.64,1.08,3,0.354,0.48,1.68,0.304,0.48,1.2,0.424,0.443,1.08,1.32,0.882,0.24,1.44,1.68,0.96,0.36,0.12,0.72,2.04,3.72,8.1,0.532,0.582,0.43,1.8,6.7,10.6,1.5,0.8,17.6,13.9,0.234,0.351,0.053
Reshanda Gray,NYL,0,F,41965,82,24.11764706,18.36,2.52,5.28,0.473,0,0.12,0.5,2.52,5.28,0.473,0.477,1.2,2.16,0.565,2.16,4.08,6.24,0.6,0.6,0.24,1.44,3.96,6.24,11.1,0.502,0.013,0.413,13.5,19.3,6,1.6,1.1,19.2,18.5,0.117,0.468,0.037
Jackie Young,LVA,0,G,53537,82,82,27.12,2.64,8.28,0.322,0.48,1.56,0.318,2.16,6.72,0.323,0.352,2.04,2.52,0.808,0.84,3.12,3.96,5.4,0.96,0.48,1.92,1.68,7.92,12.4,0.42,0.186,0.309,3.4,7.9,30.9,1.7,1.3,16.5,18,0.117,1.404,0.067
Kelsey Plum,LVA,0,G,57886,82,72.35294118,30.6,3.72,10.32,0.365,1.56,4.44,0.36,2.16,5.88,0.369,0.442,1.2,1.32,0.872,0.48,3,3.48,3.6,0.96,0.12,1.92,2.64,10.32,10,0.472,0.427,0.133,1.9,6.1,18.9,1.5,0.4,14.6,18,0.117,1.287,0.056
Essence Carson,PHO,0,G,85000,55.47058824,31.35294118,22.2,2.4,6.72,0.352,0.72,2.16,0.341,1.56,4.56,0.356,0.406,1.56,1.92,0.784,0.6,2.04,2.64,1.8,0.6,0.36,0.84,1.2,6.96,11.5,0.461,0.32,0.289,3.1,6.9,14.4,1.5,1.5,10.5,18,0.117,0.351,0.042
Stephanie Talbot,MIN,0,F-G,43311,79.5882353,24.11764706,20.4,2.04,5.64,0.37,1.08,3.48,0.326,0.96,2.16,0.441,0.471,0.96,1.08,0.871,0.6,2.28,2.88,1.44,1.08,0.36,1.56,1.32,6.24,11.4,0.513,0.617,0.201,4,8.7,11.2,2.8,1.4,20,16.8,0.117,1.17,0.077
Crystal Langhorne,SEA,0,F-C,105000,82,9.647058824,20.4,2.52,6,0.409,0.6,2.04,0.316,1.8,4.08,0.456,0.462,1.2,1.56,0.75,0.96,2.76,3.72,1.2,0.36,0.36,1.56,1.2,6.72,10.9,0.502,0.333,0.257,5.5,11.3,10,0.9,1.3,18.4,18.5,0,0.702,0.039
Courtney Paris,SEA,0,C,111000,72.35294118,0,7.56,0.24,0.6,0.4,0,0,,0.24,0.6,0.4,0.4,0.12,0.24,0.429,0.48,1.56,2.04,0.48,0.36,0.12,0.36,0.72,0.6,8.4,0.415,0,0.467,8,16.8,10.3,2.2,1.4,33.2,6.5,0,0.351,0.065
Jordin Canada,SEA,0,G,49611,72.35294118,69.94117647,34.56,4.44,11.52,0.388,0.36,1.68,0.186,4.2,9.84,0.423,0.401,2.52,3.24,0.768,0.48,2.4,2.88,6.24,2.76,0.24,3.12,1.92,11.76,14.7,0.454,0.149,0.284,1.8,5,31.7,4.1,0.7,19.6,21.3,-0.117,1.638,0.061
Myisha Hines-Allen,WAS,0,F,42632,65.11764706,0,9.36,1.08,3.12,0.362,0.24,0.72,0.375,0.84,2.4,0.358,0.406,0.36,0.48,0.583,1.08,1.44,2.52,1.08,0.36,0.48,0.96,1.44,2.76,12.6,0.424,0.232,0.174,14.7,16.7,16.3,2.2,4.3,22,20.6,-0.117,0.468,0.062
Morgan Tuck,CON,0,F,64538,79.5882353,0,12.84,1.68,4.2,0.388,0.6,1.56,0.357,1.08,2.64,0.405,0.453,0.6,1.08,0.6,0.6,1.8,2.4,0.96,0.48,0.12,1.08,1.56,4.44,10,0.476,0.362,0.259,5.6,10.7,12.8,1.9,0.8,18.8,19.6,-0.117,0.585,0.039
Carolyn Swords,LVA,0,C,83300,69.94117647,9.647058824,10.68,1.32,3,0.438,0,0,,1.32,3,0.438,0.438,0.48,0.48,0.846,0.84,1.8,2.64,0.36,0.24,0.12,0.72,1.08,3.12,9.5,0.476,0,0.178,8.3,13.4,6.3,1.3,1,17.8,16,-0.117,0.468,0.055
Sugar Rodgers,LVA,0,G,102000,79.5882353,0,13.92,1.44,4.08,0.36,1.08,3,0.357,0.36,0.96,0.37,0.495,0.12,0.24,0.6,0.12,1.68,1.8,1.44,0.48,0.48,0.96,1.32,4.08,9.5,0.499,0.757,0.045,1.2,6.8,16,1.7,2.6,19.3,15.8,-0.117,0.702,0.053
Brooke McCarty-Williams,DAL,0,G,41965,82,7.235294118,15.72,0.96,3.12,0.289,0.6,1.8,0.36,0.24,1.44,0.2,0.389,0.36,0.48,0.917,0.36,1.2,1.56,2.28,0.6,0,1.08,1.44,2.88,7.5,0.425,0.556,0.133,2.5,6,24.3,1.9,0.2,23.3,12.8,-0.117,0.117,-0.001
Imani McGee-Stafford,DAL,0,C,53290,69.94117647,14.47058824,14.28,2.16,4.56,0.468,0,0.12,0.25,2.04,4.32,0.476,0.472,0.36,0.6,0.643,1.8,2.76,4.56,0.72,0.72,0.72,1.44,2.4,4.68,14.8,0.486,0.037,0.128,14.3,19,10.4,2.7,4.5,22.8,19.9,-0.234,0.702,0.047
Kristine Anigwe,TOT,0,F-C,44207,65.11764706,0,11.16,0.96,3,0.324,0,0,,0.96,3,0.324,0.324,0.96,1.44,0.688,1.2,1.68,2.88,0.24,0.36,0.36,0.72,1.68,2.88,8.5,0.402,0,0.471,12.4,15.4,4,1.9,2.8,17.2,17.7,-0.234,0.351,0.012
Kahleah Copper,CHI,0,G-F,59718,82,0,17.76,2.76,7.2,0.387,0.48,1.68,0.306,2.28,5.52,0.413,0.424,1.92,2.52,0.771,0.48,1.8,2.28,1.08,0.48,0.12,1.56,1.8,8.04,9.7,0.483,0.24,0.343,2.8,7.1,9.6,1.4,0.4,15.5,24.1,-0.351,0.351,0.003
